migration_file	migration_timestamp	operation_type	object_type	schema_name	object_name	parent_object	evidence_excerpt	confidence
20260618_add_evaluations.sql	20260618	CREATE	table	public	evaluation_templates		create table if not exists evaluation_templates	high
20260618_add_evaluations.sql	20260618	CREATE	table	public	evaluation_questions		create table if not exists evaluation_questions	high
20260618_add_evaluations.sql	20260618	CREATE	table	public	evaluation_choices		create table if not exists evaluation_choices	high
20260618_add_evaluations.sql	20260618	CREATE	table	public	event_evaluations		create table if not exists event_evaluations	high
20260618_add_evaluations.sql	20260618	CREATE	table	public	event_evaluation_answers		create table if not exists event_evaluation_answers	high
20260703_update_verify_member_event_login_for_phone_auth.sql	20260703	ALTER	function	public	verify_member_event_login(p_event_id uuid, p_event_code text, p_identifier text)		CREATE OR REPLACE FUNCTION public.verify_member_event_login(     p_event_id uuid,     p_event_code text,     p_identifier text )	high
20260721_enable_tenants_rls.sql	20260721	ENABLE_RLS	rls_enabled	public	tenants	public.tenants	ALTER TABLE public.tenants ENABLE ROW LEVEL SECURITY	high
20260721_enable_tenants_rls.sql	20260721	CREATE_POLICY	policy	public	Active tenants are readable by browser roles	public.tenants	CREATE POLICY "Active tenants are readable by browser roles" ON public.tenants	high
20260721_enable_tenants_rls.sql	20260721	DROP_POLICY	policy	public	Active tenants are readable by browser roles	public.tenants	DROP POLICY IF EXISTS "Active tenants are readable by browser roles" ON public.tenants	high
20260721_enable_tenants_rls.sql	20260721	REVOKE	grant	public	tenants	public.tenants	REVOKE INSERT, UPDATE, DELETE, TRUNCATE, REFERENCES, TRIGGER ON TABLE public.tenants	medium
20260724_create_person_identity_foundation.sql	20260724	CREATE	table	public	people		CREATE TABLE IF NOT EXISTS public.people	high
20260724_create_person_identity_foundation.sql	20260724	CREATE	table	public	person_identifiers		CREATE TABLE IF NOT EXISTS public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE	table	public	person_auth_accounts		CREATE TABLE IF NOT EXISTS public.person_auth_accounts	high
20260724_create_person_identity_foundation.sql	20260724	CREATE	table	public	identity_merge_audit		CREATE TABLE IF NOT EXISTS public.identity_merge_audit	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_FUNCTION	function	public	set_identity_updated_at()		CREATE OR REPLACE FUNCTION public.set_identity_updated_at()	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	people_tenant_id_idx	public.people	CREATE INDEX IF NOT EXISTS people_tenant_id_idx ON public.people	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	people_merged_into_person_id_idx	public.people	CREATE INDEX IF NOT EXISTS people_merged_into_person_id_idx ON public.people	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	people_status_idx	public.people	CREATE INDEX IF NOT EXISTS people_status_idx ON public.people	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_identifiers_person_id_idx	public.person_identifiers	CREATE INDEX IF NOT EXISTS person_identifiers_person_id_idx ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_identifiers_tenant_id_idx	public.person_identifiers	CREATE INDEX IF NOT EXISTS person_identifiers_tenant_id_idx ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_identifiers_identifier_type_idx	public.person_identifiers	CREATE INDEX IF NOT EXISTS person_identifiers_identifier_type_idx ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_identifiers_normalized_value_idx	public.person_identifiers	CREATE INDEX IF NOT EXISTS person_identifiers_normalized_value_idx ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_identifiers_verification_status_idx	public.person_identifiers	CREATE INDEX IF NOT EXISTS person_identifiers_verification_status_idx ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_identifiers_source_record_id_idx	public.person_identifiers	CREATE INDEX IF NOT EXISTS person_identifiers_source_record_id_idx ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_identifiers_tenant_type_normalized_idx	public.person_identifiers	CREATE INDEX IF NOT EXISTS person_identifiers_tenant_type_normalized_idx   ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_auth_accounts_person_id_idx	public.person_auth_accounts	CREATE INDEX IF NOT EXISTS person_auth_accounts_person_id_idx ON public.person_auth_accounts	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_auth_accounts_auth_user_id_idx	public.person_auth_accounts	CREATE INDEX IF NOT EXISTS person_auth_accounts_auth_user_id_idx ON public.person_auth_accounts	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_auth_accounts_status_idx	public.person_auth_accounts	CREATE INDEX IF NOT EXISTS person_auth_accounts_status_idx ON public.person_auth_accounts	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_auth_accounts_unique_auth_user_id_idx	public.person_auth_accounts	CREATE UNIQUE INDEX IF NOT EXISTS person_auth_accounts_unique_auth_user_id_idx   ON public.person_auth_accounts	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	person_auth_accounts_active_primary_person_idx	public.person_auth_accounts	CREATE UNIQUE INDEX IF NOT EXISTS person_auth_accounts_active_primary_person_idx   ON public.person_auth_accounts	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	identity_merge_audit_surviving_person_id_idx	public.identity_merge_audit	CREATE INDEX IF NOT EXISTS identity_merge_audit_surviving_person_id_idx ON public.identity_merge_audit	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	identity_merge_audit_merged_person_id_idx	public.identity_merge_audit	CREATE INDEX IF NOT EXISTS identity_merge_audit_merged_person_id_idx ON public.identity_merge_audit	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	identity_merge_audit_merge_status_idx	public.identity_merge_audit	CREATE INDEX IF NOT EXISTS identity_merge_audit_merge_status_idx ON public.identity_merge_audit	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	identity_merge_audit_proposed_at_idx	public.identity_merge_audit	CREATE INDEX IF NOT EXISTS identity_merge_audit_proposed_at_idx ON public.identity_merge_audit	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_INDEX	index	public	attendees_person_id_idx	public.attendees	CREATE INDEX IF NOT EXISTS attendees_person_id_idx ON public.attendees	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_TRIGGER	trigger	public	set_people_updated_at	public.people	CREATE TRIGGER set_people_updated_at       BEFORE UPDATE ON public.people	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_TRIGGER	trigger	public	set_person_identifiers_updated_at	public.person_identifiers	CREATE TRIGGER set_person_identifiers_updated_at       BEFORE UPDATE ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_TRIGGER	trigger	public	set_person_auth_accounts_updated_at	public.person_auth_accounts	CREATE TRIGGER set_person_auth_accounts_updated_at       BEFORE UPDATE ON public.person_auth_accounts	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_TRIGGER	trigger	public	set_identity_merge_audit_updated_at	public.identity_merge_audit	CREATE TRIGGER set_identity_merge_audit_updated_at       BEFORE UPDATE ON public.identity_merge_audit	high
20260724_create_person_identity_foundation.sql	20260724	ENABLE_RLS	rls_enabled	public	people	public.people	ALTER TABLE public.people ENABLE ROW LEVEL SECURITY	high
20260724_create_person_identity_foundation.sql	20260724	ENABLE_RLS	rls_enabled	public	person_identifiers	public.person_identifiers	ALTER TABLE public.person_identifiers ENABLE ROW LEVEL SECURITY	high
20260724_create_person_identity_foundation.sql	20260724	ENABLE_RLS	rls_enabled	public	person_auth_accounts	public.person_auth_accounts	ALTER TABLE public.person_auth_accounts ENABLE ROW LEVEL SECURITY	high
20260724_create_person_identity_foundation.sql	20260724	ENABLE_RLS	rls_enabled	public	identity_merge_audit	public.identity_merge_audit	ALTER TABLE public.identity_merge_audit ENABLE ROW LEVEL SECURITY	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_POLICY	policy	public	deny_all_anonymous_people	public.people	CREATE POLICY deny_all_anonymous_people       ON public.people	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_POLICY	policy	public	deny_all_authenticated_people	public.people	CREATE POLICY deny_all_authenticated_people       ON public.people	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_POLICY	policy	public	deny_all_anonymous_person_identifiers	public.person_identifiers	CREATE POLICY deny_all_anonymous_person_identifiers       ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_POLICY	policy	public	deny_all_authenticated_person_identifiers	public.person_identifiers	CREATE POLICY deny_all_authenticated_person_identifiers       ON public.person_identifiers	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_POLICY	policy	public	deny_all_anonymous_person_auth_accounts	public.person_auth_accounts	CREATE POLICY deny_all_anonymous_person_auth_accounts       ON public.person_auth_accounts	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_POLICY	policy	public	deny_all_authenticated_person_auth_accounts	public.person_auth_accounts	CREATE POLICY deny_all_authenticated_person_auth_accounts       ON public.person_auth_accounts	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_POLICY	policy	public	deny_all_anonymous_identity_merge_audit	public.identity_merge_audit	CREATE POLICY deny_all_anonymous_identity_merge_audit       ON public.identity_merge_audit	high
20260724_create_person_identity_foundation.sql	20260724	CREATE_POLICY	policy	public	deny_all_authenticated_identity_merge_audit	public.identity_merge_audit	CREATE POLICY deny_all_authenticated_identity_merge_audit       ON public.identity_merge_audit	high
20260724_create_person_identity_foundation.sql	20260724	ALTER	column	public	attendees.person_id	public.attendees	ALTER TABLE public.attendees   ADD COLUMN IF NOT EXISTS person_id	high
20260724_create_person_identity_foundation.sql	20260724	ALTER	foreign_key	public	attendees_person_id_fkey	public.attendees	ADD CONSTRAINT attendees_person_id_fkey       FOREIGN KEY (person_id) REFERENCES public.people(id);   END IF; END $$;  CREATE INDEX IF NOT EXISTS attendees_person_id_idx ON public.attendees (person_id);	high
20260726120000_expand_person_identifier_source_types.sql	20260726120000	ALTER	check_constraint	public	person_identifiers_source_type_check	public.person_identifiers	ADD CONSTRAINT person_identifiers_source_type_check CHECK (     source_type IN (       'attendee_import',       'attendee_record',       'attendee_household_member_record',       'authentication',       'member_confirmation',       'adminis	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE	table	public	person_role_instances		CREATE TABLE IF NOT EXISTS public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_INDEX	index	public	person_role_instances_person_id_idx	public.person_role_instances	CREATE INDEX IF NOT EXISTS person_role_instances_person_id_idx   ON public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_INDEX	index	public	person_role_instances_tenant_id_idx	public.person_role_instances	CREATE INDEX IF NOT EXISTS person_role_instances_tenant_id_idx   ON public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_INDEX	index	public	person_role_instances_event_id_idx	public.person_role_instances	CREATE INDEX IF NOT EXISTS person_role_instances_event_id_idx   ON public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_INDEX	index	public	person_role_instances_attendee_id_idx	public.person_role_instances	CREATE INDEX IF NOT EXISTS person_role_instances_attendee_id_idx   ON public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_INDEX	index	public	person_role_instances_household_member_id_idx	public.person_role_instances	CREATE INDEX IF NOT EXISTS person_role_instances_household_member_id_idx   ON public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_INDEX	index	public	person_role_instances_role_idx	public.person_role_instances	CREATE INDEX IF NOT EXISTS person_role_instances_role_idx   ON public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_INDEX	index	public	person_role_instances_attribution_method_idx	public.person_role_instances	CREATE INDEX IF NOT EXISTS person_role_instances_attribution_method_idx   ON public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_TRIGGER	trigger	public	set_person_role_instances_updated_at	public.person_role_instances	CREATE TRIGGER set_person_role_instances_updated_at       BEFORE UPDATE ON public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	ENABLE_RLS	rls_enabled	public	person_role_instances	public.person_role_instances	ALTER TABLE public.person_role_instances ENABLE ROW LEVEL SECURITY	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_POLICY	policy	public	deny_all_anonymous_person_role_instances	public.person_role_instances	CREATE POLICY deny_all_anonymous_person_role_instances       ON public.person_role_instances	high
20260726120100_create_person_role_instances.sql	20260726120100	CREATE_POLICY	policy	public	deny_all_authenticated_person_role_instances	public.person_role_instances	CREATE POLICY deny_all_authenticated_person_role_instances       ON public.person_role_instances	high
